"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"518","hilko",1,0,0,1,0,0
"519","dugula",0,0,1,0,1,0
"520","hilko",1,0,0,0,0,0
"521","garela",0,0,1,0,0,0
"522",NA,0,0,0,0,0,0
"523","beranduago edo goizeago a",0,0,0,1,0,0
"524","denok",0,0,0,0,0,0
"525","XX",1,0,0,0,0,0
"526","gara",0,0,1,0,0,0
"527","txikitatik",0,0,0,0,0,1
"528","adibidez",0,0,0,0,0,1
"529","ez",0,0,0,1,0,1
"530","daukagu",0,1,0,0,1,1
"531","beldurrik",0,0,0,0,0,1
"532","helduak",0,0,0,0,0,1
"533","garenean",0,1,0,0,0,1
"534","ez",0,0,0,0,0,1
"535","dugu",0,0,1,0,0,1
"536","asko",0,0,0,0,0,1
"537","pentsaten",1,0,0,0,0,1
"538","pentsatzen",1,0,0,0,0,1
"539","eta",0,0,0,1,0,NA
"540",NA,0,0,0,0,1,NA
"541","zaharrak",0,0,0,0,0,NA
"542","izango",1,0,0,0,0,NA
"543",NA,0,0,0,0,0,NA
"544","garenean",0,0,1,0,0,NA
"545","ziuraski",0,0,0,1,0,NA
"546",NA,0,0,0,0,0,NA
"547","beldurra",0,0,0,0,0,NA
"548","hartuko",1,0,0,0,0,NA
"549","dugu",0,0,1,0,0,NA
"550","hiltzea",0,0,0,0,0,NA
"551","hurbil",0,0,0,1,0,NA
"552",NA,0,0,0,0,0,NA
"553","hurbil",0,0,0,0,0,NA
"554","gaudelako",0,1,0,0,0,NA
"555","ikusi",0,0,0,0,0,NA
"556","gaudelako",0,1,0,0,0,NA
"557","desberdin +",0,0,0,0,0,NA
"558","+tasun +",0,0,0,0,0,NA
"559","+ asko",0,0,0,0,0,NA
"560","dago",0,1,0,0,0,NA
"561",NA,0,0,0,0,0,NA
"562","hiltzeko",0,0,0,1,0,NA
"563","forman",0,0,0,0,0,NA
"564","hau da",0,0,0,0,0,1
"565",NA,0,0,0,0,0,1
"566",NA,0,0,0,0,0,1
"567","batbatean",0,0,0,0,0,1
"568","hiltzea",0,0,0,0,0,1
"569","ezin",0,0,0,0,0,1
"570","duzu",0,0,1,1,0,1
"571","ezer",0,0,0,0,1,1
"572","egin",1,0,0,0,0,1
"573","argi dago",0,0,0,0,0,NA
"574","baina",0,0,0,1,0,NA
"575","apurkaapurka",0,0,0,0,0,NA
"576","hiltzen",1,0,0,0,0,NA
"577","baduzu",0,0,1,0,0,NA
"578","arazo gehiago",0,0,0,0,0,NA
"579","sortzen",1,0,0,1,0,NA
"580","sortzen",1,0,0,0,0,NA
"581","dira",0,0,1,0,0,NA
"582","zoritxarrez",0,0,0,0,0,NA
"583",NA,0,0,0,0,0,NA
"584","kasu batzuetan",0,0,0,0,0,NA
"585","mina asko",0,0,0,1,0,NA
"586","sentitzen",1,0,0,1,1,NA
"587","dugu",0,0,1,0,0,NA
"588","gaisotasun",0,0,0,0,0,NA
"589","bat",0,0,0,0,0,NA
"590","jota",0,0,0,1,0,NA
"591","gaudela",0,1,0,1,1,NA
"592","ta",0,0,0,0,0,NA
"593","edo",0,0,0,1,0,1
"594","ezin",0,0,0,0,0,1
"595","duzu",0,0,1,0,0,1
"596","ezer",0,0,0,0,0,1
"597","egin",1,0,0,0,0,1
"598","ohe",0,0,0,0,0,1
"599","batean",0,0,0,0,0,1
"600","etzanda",0,0,0,1,0,1
"601","zaudela+",0,1,0,1,1,1
"602","zaudelako",0,1,0,0,0,1
"603","horregatik kasu horretan",0,0,0,0,0,0
"604","nire ustez",0,0,0,0,0,0
"605",NA,0,0,0,0,0,0
"606","aukeratu",0,0,0,0,0,0
"607","behar",1,0,0,1,0,0
"608","aukeratu",0,0,0,0,0,0
"609","aukeratzea",0,0,0,0,0,0
"610","ahal",0,0,0,0,0,0
